preco	area	quartos	banheiros	vagas	suites	bairro
245000	48.54	1	1	1	NA	portao
190000	44	2	1	1	NA	portao
320000	100	3	NA	1	1	portao
379900	61	2	2	1	1	portao
269100	62	2	2	1	1	portao
540000	145	3	3	2	1	portao
250000	62	3	2	1	1	portao
270000	48.54	1	1	1	NA	portao
210000	60	2	1	1	NA	portao
248000	54	3	NA	1	NA	portao
195000	49	3	1	1	NA	portao
389900	61	2	2	1	1	portao
295000	55.85	2	NA	1	NA	portao
692700	126.05	3	5	2	3	portao
200000	50	3	2	1	1	portao
369900	61	2	2	1	1	portao
540587	96	3	NA	2	NA	portao
160000	45	1	1	1	NA	portao
478500	121	3	2	2	1	portao
325000	57.48	2	1	1	1	portao
320000	80	3	2	1	1	portao
546228	95	2	1	2	1	portao
185000	32	1	1	1	NA	portao
579000	87.3	3	2	2	1	portao
680000	171.61	3	3	2	1	portao
394000	66	2	2	1	1	portao
280000	75	3	2	1	1	portao
299000	67	3	2	1	1	portao
450000	79	3	NA	2	NA	portao
660000	171.57	3	3	2	1	portao
750000	185	3	3	3	2	portao
241770	52	2	NA	NA	1	portao
448000	105	2	2	2	1	portao
269100	62	2	2	1	1	portao
257693	62	3	NA	1	1	portao
689691	105	3	NA	2	1	portao
210000	54	2	1	NA	NA	portao
740000	109	3	2	2	1	portao
415000	75	3	3	1	1	portao
298000	56	2	1	1	1	portao
359900	61	2	2	1	1	portao
857400	155.11	4	4	2	2	portao
375500	110	2	2	2	1	portao
280000	84	3	NA	1	NA	portao
949000	155	3	NA	2	3	portao
943422	155	3	4	1	3	portao
139000	29	1	1	1	NA	portao
794900	129	3	NA	2	3	portao
440000	98	3	2	2	1	portao
260000	62.48	2	2	1	1	portao
260000	77	3	1	1	NA	portao
406537	75.23	3	NA	1	1	portao
530000	87	2	2	2	1	portao
326694	63.17	2	NA	1	1	portao
660000	126	3	1	2	3	portao
551586	95.53	3	NA	2	1	portao
665000	105	3	3	2	1	portao
168000	46	1	1	NA	1	portao
130000	29	1	1	1	NA	portao
700520	148.37	3	NA	2	1	portao
470000	83	2	2	2	1	portao
835000	155	4	NA	2	2	portao
460000	97	3	NA	1	1	portao
245000	53	2	2	1	1	portao
670000	126	3	NA	2	3	portao
710000	126	3	4	2	3	portao
497000	94	3	1	2	1	portao
310000	77	3	2	1	1	portao
330000	100	3	2	1	1	portao
890000	129	3	NA	2	NA	portao
120000	30	1	NA	NA	NA	portao
300000	65	3	2	1	1	portao
530000	97.7	3	NA	2	NA	portao
515000	113	3	NA	NA	1	portao
325460	62.3	2	NA	1	1	portao
339990	61.25	2	NA	1	NA	portao
305000	60.1	2	1	1	NA	portao
399580	62.3	2	NA	2	NA	portao
750000	184.6	3	1	3	NA	portao
325000	77	3	1	1	NA	portao
299000	114.95	2	1	2	NA	portao
620000	101.8	4	1	2	NA	portao
365000	72	3	1	1	NA	portao
500000	102.23	3	NA	1	1	portao
550000	114	3	2	2	1	portao
330000	89	3	2	1	1	portao
635000	126	3	4	2	3	portao
550000	181.32	3	2	2	1	portao
250555	62	2	2	1	1	portao
729500	186	3	4	3	2	portao
830000	126	3	2	2	3	portao
465000	79	3	NA	1	NA	portao
570000	135	2	2	2	1	portao
228238	52	2	NA	NA	1	portao
450000	66	3	NA	1	NA	portao
345000	57.48	2	1	1	1	portao
207431	52	2	1	1	1	portao
261100	62	2	NA	1	1	portao
248975	62	3	NA	NA	1	portao
548000	114	3	3	2	1	portao
265000	62	3	2	1	1	portao
379000	80	3	1	1	1	portao
280000	48.8	2	1	1	NA	portao
690000	106	3	2	NA	1	portao
380000	98	3	3	2	1	portao
550000	216.1	4	1	3	NA	portao
285000	74.74	3	NA	1	NA	portao
159000	32	1	1	NA	NA	portao
230000	70	3	1	1	NA	portao
325000	70.46	2	NA	1	1	portao
275000	78	3	2	1	1	portao
300000	60	2	2	1	1	portao
275000	62	2	2	1	1	portao
790000	129	3	5	2	3	portao
295000	70	3	2	1	1	portao
322511	63	2	2	1	1	portao
200000	54	2	1	1	NA	portao
680000	126	3	4	2	1	portao
552000	95	2	3	2	1	portao
239000	66	2	2	1	1	portao
551500	121	3	2	2	1	portao
270000	79	3	2	NA	1	portao
576000	145	3	3	2	1	portao
210000	59	3	1	1	NA	portao
238000	57	2	2	1	1	portao
440000	85	3	2	2	1	portao
630000	147	3	NA	2	1	portao
390000	77	3	2	2	1	portao
455000	79	3	2	1	1	portao
350000	77	3	3	1	1	portao
240000	74	3	3	1	1	portao
633000	126	3	4	2	3	portao
460000	82	2	2	NA	1	portao
260000	62	3	2	1	1	portao
459000	80	3	2	1	1	portao
539000	85	3	2	2	1	portao
270000	63	2	2	1	1	portao
200000	50	2	1	1	NA	portao
539900	106	3	3	2	1	portao
278000	77	2	2	1	NA	portao
