agregado	familia	cinza	bloco	rept	data	altura
4 a 10	F29	0	3	1	2012/03/16	18.5
4 a 10	F29	0	3	2	2012/03/16	23.0
4 a 10	F29	1.5	1	1	2012/03/16	39.0
4 a 10	F29	1.5	1	2	2012/03/16	30.5
4 a 10	F29	1.5	2	1	2012/03/16	26.0
4 a 10	F29	1.5	2	2	2012/03/16	35.0
4 a 10	F29	1.5	3	1	2012/03/16	25.5
4 a 10	F29	1.5	3	2	2012/03/16	33.0
4 a 10	F29	3	1	1	2012/03/16	16.0
4 a 10	F29	3	1	2	2012/03/16	34.0
4 a 10	F29	3	2	1	2012/03/16	17.0
4 a 10	F29	3	2	2	2012/03/16	43.5
4 a 10	F29	3	3	1	2012/03/16	9.0
4 a 10	F29	3	3	2	2012/03/16	30.0
4 a 10	F29	6	1	1	2012/03/16	54.5
4 a 10	F29	6	1	2	2012/03/16	56.0
4 a 10	F29	6	2	1	2012/03/16	26.5
4 a 10	F29	6	2	2	2012/03/16	21.0
4 a 10	F29	6	3	1	2012/03/16	32.0
4 a 10	F29	6	3	2	2012/03/16	26.0
4 a 10	F29	12	1	1	2012/03/16	41.3
4 a 10	F29	12	1	2	2012/03/16	20.5
4 a 10	F29	12	2	1	2012/03/16	10.5
4 a 10	F29	12	2	2	2012/03/16	30.5
4 a 10	F29	12	3	1	2012/03/16	17.5
4 a 10	F29	12	3	2	2012/03/16	15.8
4 a 10	F29	24	1	1	2012/03/16	31.0
4 a 10	F29	24	1	2	2012/03/16	35.8
4 a 10	F29	24	2	1	2012/03/16	30.5
4 a 10	F29	24	2	2	2012/03/16	16.5
4 a 10	F29	24	3	1	2012/03/16	31.5
4 a 10	F29	24	3	2	2012/03/16	38.5
4 a 10	F29	48	1	1	2012/03/16	25.2
4 a 10	F29	48	1	2	2012/03/16	28.0
4 a 10	F29	48	2	1	2012/03/16	15.0
4 a 10	F29	48	2	2	2012/03/16	10.0
4 a 10	F29	48	3	1	2012/03/16	16.0
4 a 10	F29	48	3	2	2012/03/16	14.5
4 a 10	F48	0	1	1	2012/03/16	44.0
4 a 10	F48	0	1	2	2012/03/16	34.0
4 a 10	F48	0	2	1	2012/03/16	21.0
4 a 10	F48	0	2	2	2012/03/16	25.0
4 a 10	F48	0	3	1	2012/03/16	28.6
4 a 10	F48	0	3	2	2012/03/16	20.0
4 a 10	F48	1.5	1	1	2012/03/16	10.0
4 a 10	F48	1.5	1	2	2012/03/16	28.6
4 a 10	F48	1.5	2	1	2012/03/16	10.0
