preco	area	nquart	nbanh	nvaga	nsuit	bairro
230000	57	2	NA	NA	NA	Agua Verde
1309390	193.04	3	3	3	3	Agua Verde
930000	270	4	2	3	1	Agua Verde
759900	97	3	2	2	1	Agua Verde
1100000	201	4	1	3	2	Agua Verde
489000	75	2	2	1	1	Agua Verde
685000	94.64	3	2	2	1	Agua Verde
980000	155	3	3	2	2	Agua Verde
1410000	189	4	NA	3	2	Agua Verde
439000	75	2	2	2	1	Agua Verde
559593	93	3	2	2	1	Agua Verde
541600	74	2	1	1	1	Agua Verde
620900	93.9	3	NA	2	1	Agua Verde
520000	95	3	2	2	1	Agua Verde
310000	102	3	NA	1	NA	Agua Verde
595000	85	2	2	2	1	Agua Verde
359000	65	2	1	1	1	Agua Verde
650000	108	3	2	2	1	Agua Verde
1322000	188.78	4	NA	3	NA	Agua Verde
586000	94	3	2	2	1	Agua Verde
476000	85	2	3	2	2	Agua Verde
1100000	300	4	3	2	2	Agua Verde
1416000	188.78	4	3	3	2	Agua Verde
260000	NA	3	NA	1	NA	Agua Verde
648146	119	3	3	2	1	Agua Verde
560000	77	2	2	2	1	Agua Verde
230000	54	2	1	1	NA	Agua Verde
485000	71	2	NA	1	1	Agua Verde
268000	67	3	2	1	NA	Agua Verde
857900	155	4	5	2	2	Agua Verde
530000	88	2	2	2	1	Agua Verde
489000	75	2	2	1	1	Agua Verde
504900	91	3	2	2	1	Agua Verde
795000	152	3	1	2	1	Agua Verde
220000	53.44	2	1	1	NA	Agua Verde
2500000	252	4	5	4	2	Agua Verde
794900	129	3	3	2	3	Agua Verde
1322000	188.78	4	NA	3	NA	Agua Verde
215760	29	1	1	1	NA	Agua Verde
530000	102	3	2	1	1	Agua Verde
985886	101.43	3	NA	2	1	Agua Verde
519900	94	3	4	2	1	Agua Verde
1050000	336	4	5	3	2	Agua Verde
495500	85	2	3	2	2	Agua Verde
560000	80	2	NA	NA	1	Agua Verde
260000	42	1	1	1	NA	Agua Verde
550000	124	3	1	1	1	Agua Verde
420000	139	3	NA	1	NA	Agua Verde
545000	NA	3	NA	2	1	Agua Verde
1980000	412	3	3	3	3	Agua Verde
479000	75	2	NA	1	NA	Agua Verde
998000	276	4	4	2	2	Agua Verde
650000	79	3	2	1	1	Agua Verde
972900	184	4	NA	3	1	Agua Verde
755000	96	3	3	2	1	Agua Verde
290000	50	2	1	1	NA	Agua Verde
559900	105	3	2	2	1	Agua Verde
1800000	280	4	4	3	2	Agua Verde
329000	75	3	NA	1	NA	Agua Verde
1226700	181	4	4	3	2	Agua Verde
973000	330	3	3	2	1	Agua Verde
590000	92	3	2	2	1	Agua Verde
559000	104	2	NA	2	NA	Agua Verde
519000	94	3	1	2	1	Agua Verde
476000	85	2	3	2	2	Agua Verde
590000	120	3	3	2	1	Agua Verde
360000	91	2	NA	1	1	Agua Verde
288000	57	3	2	1	NA	Agua Verde
575000	116	2	4	2	2	Agua Verde
1950000	365.11	4	4	4	4	Agua Verde
850000	149	3	4	2	1	Agua Verde
340000	63	3	NA	1	1	Agua Verde
595000	102	3	3	1	1	Agua Verde
480000	76.43	2	NA	2	1	Agua Verde
1180000	133.57	4	4	3	1	Agua Verde
915000	170	2	2	NA	1	Agua Verde
413000	75	2	NA	1	1	Agua Verde
620000	129.6	3	1	2	NA	Agua Verde
1050000	158	4	5	3	2	Agua Verde
1418500	181	4	4	4	3	Agua Verde
530000	120	1	NA	2	1	Agua Verde
257900	35	1	1	1	NA	Agua Verde
450000	80	3	2	2	1	Agua Verde
934000	158.1	NA	NA	2	NA	Agua Verde
753000	126	4	3	2	1	Agua Verde
460000	108	3	2	1	1	Agua Verde
414000	75	2	2	1	1	Agua Verde
586000	94	3	2	2	1	Agua Verde
916418	163	3	NA	2	3	Agua Verde
460000	75	2	1	2	1	Agua Verde
558000	94	3	3	2	1	Agua Verde
600000	105	3	3	2	1	Agua Verde
478000	104.78	3	NA	1	NA	Agua Verde
215000	50	2	1	1	NA	Agua Verde
405000	96	2	2	1	1	Agua Verde
1000000	280	3	NA	3	1	Agua Verde
755100	96	3	3	2	1	Agua Verde
330000	55	2	NA	1	1	Agua Verde
1120000	184	4	3	3	2	Agua Verde
390000	88	3	2	1	1	Agua Verde
650000	202	3	NA	2	NA	Agua Verde
750000	149	4	3	2	1	Agua Verde
640000	94	2	2	2	1	Agua Verde
599000	214	3	3	2	1	Agua Verde
645000	93.9	3	NA	2	1	Agua Verde
560000	123	3	NA	1	1	Agua Verde
340000	69	3	NA	1	1	Agua Verde
749900	126	4	4	2	1	Agua Verde
960000	204	4	5	3	2	Agua Verde
690000	158	3	3	2	1	Agua Verde
350000	96	3	1	1	NA	Agua Verde
1151228	158	4	1	3	2	Agua Verde
NA	244	3	1	3	1	Agua Verde
160000	50	2	1	1	NA	Agua Verde
160000	50	2	1	1	NA	Agua Verde
471000	NA	2	NA	1	1	Agua Verde
460000	72.28	2	2	2	1	Agua Verde
1300035	189	4	NA	3	2	Agua Verde
280000	75	3	2	1	1	Agua Verde
689690	105	3	NA	2	1	Agua Verde
1107000	158	4	NA	3	NA	Agua Verde
766000	138.4	2	NA	2	NA	Agua Verde
495000	87	3	NA	2	1	Agua Verde
1199890	140	3	3	3	1	Agua Verde
1380900	193	3	5	3	3	Agua Verde
514000	86	3	2	2	1	Agua Verde
745000	184	4	4	3	2	Agua Verde
1499999	273	4	6	3	4	Agua Verde
169946	29.66	1	1	NA	NA	Agua Verde
1109000	147	4	3	3	1	Agua Verde
480000	52	2	1	1	1	Agua Verde
892600	129	3	5	2	3	Agua Verde
1410000	189	4	1	3	2	Agua Verde
475000	114	3	3	1	1	Agua Verde
5800000	806	4	1	6	4	Agua Verde
650000	107.44	3	3	2	1	Agua Verde
535000	109	3	2	11	1	Agua Verde
584000	119	2	2	2	1	Agua Verde
255000	63	2	1	1	1	Agua Verde
398500	80	3	2	1	1	Agua Verde
2499900	328	4	6	5	4	Agua Verde
470000	75.48	2	NA	2	1	Agua Verde
1000000	28348	3	1	2	2	Agua Verde
1322000	188.78	4	NA	3	NA	Agua Verde
200000	44	2	1	NA	NA	Agua Verde
995000	217.62	3	NA	3	1	Agua Verde
290000	60	3	2	1	1	Agua Verde
1669713	181.28	4	NA	3	2	Agua Verde
994900	184	4	NA	3	1	Agua Verde
858889	131	4	4	2	1	Agua Verde
1290000	174	3	NA	3	3	Agua Verde
980000	140	3	4	2	3	Agua Verde
586000	94	3	2	2	1	Agua Verde
690000	158	4	3	2	1	Agua Verde
185500	34	1	NA	1	NA	Agua Verde
246532	53	2	NA	1	NA	Agua Verde
413901	75.55	2	2	1	1	Agua Verde
215760	29	1	1	1	NA	Agua Verde
215760	29	1	1	1	NA	Agua Verde
700000	191	4	NA	2	2	Agua Verde
1135000	228	4	NA	2	1	Agua Verde
608000	94	3	2	1	1	Agua Verde
260000	54.2	2	NA	1	NA	Agua Verde
579900	94.64	3	NA	2	1	Agua Verde
439000	75.28	2	NA	2	1	Agua Verde
427000	75	2	2	2	1	Agua Verde
689000	116	4	2	1	1	Agua Verde
1564000	193	4	5	4	2	Agua Verde
1160600	133	4	5	3	2	Agua Verde
480000	160	3	NA	1	NA	Agua Verde
780000	130	4	3	2	1	Agua Verde
1250000	350	4	5	3	2	Agua Verde
340000	63	3	2	1	1	Agua Verde
580000	93	3	2	2	1	Agua Verde
655900	119	3	4	2	2	Agua Verde
799900	129	3	4	2	1	Agua Verde
1140000	NA	4	NA	2	NA	Agua Verde
1185000	158	4	1	3	2	Agua Verde
497900	75.39	2	NA	1	1	Agua Verde
1322000	188.78	4	NA	3	NA	Agua Verde
595000	94	3	2	2	1	Agua Verde
650000	75.9	2	NA	2	1	Agua Verde
1093000	182	4	3	2	1	Agua Verde
774700	119	3	3	2	1	Agua Verde
345000	91	3	NA	1	1	Agua Verde
824000	124	3	2	2	1	Agua Verde
490000	75	2	2	2	1	Agua Verde
789000	129	3	3	2	1	Agua Verde
522000	94	3	3	2	1	Agua Verde
575000	120	3	2	1	1	Agua Verde
1110000	228	4	NA	2	1	Agua Verde
770000	135	3	1	2	1	Agua Verde
866698	140	3	4	2	3	Agua Verde
793000	119.15	3	2	2	1	Agua Verde
398300	80	3	1	1	NA	Agua Verde
449900	75	2	2	1	1	Agua Verde
690000	158	4	3	2	1	Agua Verde
598000	106	3	4	2	1	Agua Verde
1801100	290	4	1	4	2	Agua Verde
800000	220	3	4	2	3	Agua Verde
1750000	220	3	1	3	3	Agua Verde
404619	75.55	2	NA	NA	1	Agua Verde
533696	67.64	2	NA	NA	1	Agua Verde
213300	29	1	1	1	NA	Agua Verde
557959	92.74	3	NA	NA	1	Agua Verde
1300000	180	3	NA	NA	3	Agua Verde
480000	100.64	2	3	1	1	Agua Verde
1232389	139.95	3	NA	NA	1	Agua Verde
500000	120	3	NA	NA	1	Agua Verde
445000	84.12	3	3	2	1	Agua Verde
435000	84.04	2	2	1	1	Agua Verde
550000	201.6	3	NA	NA	NA	Agua Verde
