## Dados de resposabilidade de Alexandre Bryan Heinemann, pesquisador
## da Embrapa Arroz e Feijão. Experimento para avaliação de cultivares de
## arroz foi instaldo em delineamento de blocos casualizados para avaliar o
## efeito do espaçamento de cultivo nos componentes de produção das
## cultivares. O experimento foi repetido tem 3 locais sendo que em um
## deles fez-se em dois anos, perfazendo 4 repetições do experimento.
## 
## local: indica o local de condução do ensaio.
## ano: indica o ano de condução do ensaio.
## parc: indica a parcela dentro do ensaio.
## bl: indica o bloco dentro do ensaio.
## cult: indica a cultivar de arroz.
## esp: espaçamento de cultivo (m).
## rend: rendimento de grãos (kg ha^{-1}).
## ester: esterelidade (%).
## npan: número (médio) de panículas.
## p100: peso de 100 grãos (g).
## local2: é a concatenação de local com ano.
## ng_pan: número de grãos por panícula.
## As demais variáveis são ambientais e não medidas ao nível das
## parcelas. Os valores são os mesmos para todas as parcelas de uma mesma
## cultivar:local:ano, ou seja, não mudam de bloco para bloco.
##
local	ano	parc	bl	cult	esp	rend	ester	npan	p100	ng_pan	prect	precv	precr	gdet	gdev	gder	rad	txdesv	tdesr	local2
3	2009	109	1	C	0.45	538	45.8	155.6	2	189.3	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	110	1	C	0.35	821	24.8	191.4	2.3	153.4	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	203	2	C	0.55	1153	31.3	200	2.3	108.5	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	204	2	C	0.25	281	25.1	280	2.2	103.4	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	209	2	C	0.45	844	50.5	231.1	1.8	89	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	212	2	C	0.35	79	42.1	228.6	2.3	170.4	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	301	3	C	0.55	872	16.7	189.1	2.4	101.2	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	304	3	C	0.25	675	21.6	340	2.4	90.1	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	308	3	C	0.45	1500	17.5	204.4	2.5	90.4	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	312	3	C	0.35	1938	31	200	NA	146	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	402	4	C	0.55	429	45.8	123.6	2.1	120.9	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	405	4	C	0.25	638	41.2	360	2.2	132.4	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	407	4	C	0.45	1208	21.2	266.7	2.5	97.3	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	411	4	C	0.35	897	20.2	214.3	2.3	111.4	564.85	228.3	234.6	1832.2	995.1	343.6	1806.28	0.00069	0.00083	Porangatu
3	2009	101	1	D	0.55	1571	23.4	165.5	2.8	102.1	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	105	1	D	0.25	1413	19.9	244	2.8	180.6	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	107	1	D	0.45	2528	15.3	246.7	3.2	119.2	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
3	2009	111	1	D	0.35	2397	19.5	260	3.3	156.9	495.1	216.4	170.7	1614.6	690.8	495.8	1528.18	0.00094	0.00071	Porangatu
