experimento	semente	inseticida	tratamento	repeticao	estande	producao
2008E99004	AG8088	COM INS	3	1	65000	10346.01
2008E99004	AG8088	COM INS	3	2	68750	10894.68
2008E99004	AG8088	COM INS	3	4	66250	9902.28
2008E99004	AG8088	SEM INS	4	2	65000	9517.24
2008E99004	AG8088	SEM INS	4	1	70000	10622.84
2008E99004	AG8088	SEM INS	4	4	66250	10961.03
2008E99004	AG8088	SEM INS	4	5	70000	10823.68
2008E99004	AG8088	SEM INS	4	3	66250	10648.28
2008E99004	AG8088YG	COM INS	1	2	68750	10253.56
2008E99004	AG8088YG	COM INS	1	4	68750	10956.94
2008E99004	AG8088YG	COM INS	1	3	68750	10668.39
2008E99004	AG8088YG	COM INS	1	5	71250	11716.67
2008E99004	AG8088YG	COM INS	1	1	71250	11075.39
2008E99004	AG8088YG	SEM INS	2	4	66250	10982.76
2008E99004	AG8088YG	SEM INS	2	2	66250	11444.6
2008E99004	AG8088YG	SEM INS	2	5	67500	11033.28
2008E99004	AG8088YG	SEM INS	2	3	66250	10856.75
2008E99004	AG8088YG	SEM INS	2	1	71250	11288.28
2008E99005	AG9010	COM INS	3	3	66250	8146.55
2008E99005	AG9010	COM INS	3	4	68750	8338
2008E99005	AG9010	COM INS	3	2	68750	9248.85
2008E99005	AG9010	COM INS	3	5	67500	8287.93
2008E99005	AG9010	COM INS	3	1	67500	9183.33
2008E99005	AG9010	SEM INS	4	3	68750	9682.76
2008E99005	AG9010	SEM INS	4	5	68750	7784.48
2008E99005	AG9010	SEM INS	4	4	70000	8050.57
2008E99005	AG9010	SEM INS	4	1	68750	9026.38
2008E99005	AG9010	SEM INS	4	2	60000	9801.65
2008E99005	AG9010YG	COM INS	1	4	67500	8718.75
2008E99005	AG9010YG	COM INS	1	5	65000	8512.5
2008E99005	AG9010YG	COM INS	1	2	68750	8586.21
2008E99005	AG9010YG	COM INS	1	1	68750	8699.48
2008E99005	AG9010YG	COM INS	1	3	65000	8900.86
2008E99005	AG9010YG	SEM INS	2	3	66250	8876.55
2008E99005	AG9010YG	SEM INS	2	5	68750	8748.28
2008E99005	AG9010YG	SEM INS	2	4	68750	8995.72
