## Dados de responsabilidade de Grasiela Bruzamarello Tognon
## (http://lattes.cnpq.br/2911532137112895), acadêmica de pós graduação
## em produção vegetal, UFPR.
##
## O experimento avaliou o efeito de soluções (trat) para ?conservação
## das estacas e foi repetido nas 4 estações do ano (est).
## 
## As respostas avaliadas foram medidas de características de coloração
## das estacas (L, a, b, E), o peso e a classificação quanto à
## viabilidade comercial (nota de 1 à 3). Foram consideradas 10 estacas
## (unidades experimentais, UE) para cada nível solução em cada
## estação. O registro das respostas foi feito ao longo do tempo (dias,
## medidas repetidas nas memas UE)
## 
## trat = {
##   1: Controle,
##   2: Ácido citrico (100 ml^{-1}),
##   3: Metabissulfito de sódio (10 mM),
##   4: Ácido cítrico + Sacarose (4%),
##   5: Metabissulfito de sódio + Sacarose (4%)
## }
## 
## L: define a luminosidade (L = 0: preto e L = 100: branco).
## 
## a e b: associam-se a cromaticidade, (“+a”, vermelho, “-a”, verde e
## “+b”, amarelo, “-b”, azul).
## 
## E: delta E, coloração como um todo.
## 
## peso: hastes pesadas em cada dia de avaliação por meio de balança
## analítica de precisão (gramas).
## 
## escala: escala de classificação de viabilidade:  
## 1) Cladódios verdes brilhantes sem manchas escuras (oxidação) ao
##    longo da haste. Hastes túrgidas. VIÁVEIS.
## 2) Cladódios verdes brilhantes com manchas escuras (oxidação) somente
##    na porção basal da haste. Hastes túrgidas e sem danos. VIÁVEIS.
## 3) Cladódios apresentando manchas escuras (oxidação) na porção
##    mediana e/ou apical da haste. Hastes secas (com aspecto
##    quebradiço). DESCARTE.
##
est	dias	trat	rept	L	a	b	AE	peso	escala
outono	9	4	9	38.29	-8.44	12.08	21.73	13.60	2
outono	9	4	10	38.81	-9.66	16.01	25.26	17.38	2
outono	9	5	1	42.91	-7.60	13.42	25.25	24.79	3
outono	9	5	2	47.73	-11.56	21.96	35.45	13.30	2
outono	9	5	3	39.02	-8.09	12.06	22.01	19.10	3
outono	9	5	4	42.30	-8.18	14.04	25.44	26.92	2
outono	9	5	5	42.40	-8.89	15.29	26.59	14.20	2
outono	9	5	6	37.06	-10.38	15.87	24.61	10.26	2
outono	9	5	7	39.89	-8.00	12.73	22.95	15.09	3
outono	9	5	8	36.61	-8.93	13.40	21.91	39.85	3
outono	9	5	9	40.70	-9.78	16.72	26.87	15.98	3
outono	9	5	10	36.77	-10.62	16.28	24.89	31.35	3
inverno	1	1	1	39.40	-7.90	13.18	22.89	14.85	1
inverno	1	1	2	39.18	-5.76	9.57	19.62	12.94	1
inverno	1	1	3	38.00	-6.07	15.37	22.92	10.58	1
inverno	1	1	4	33.65	-5.89	8.03	15.15	14.23	1
inverno	1	1	5	34.56	-7.46	11.00	18.45	17.43	1
inverno	1	1	6	40.72	-7.47	12.03	22.24	12.79	1
inverno	1	1	7	39.30	-5.70	9.91	19.88	19.26	1
inverno	1	1	8	40.08	-7.09	11.05	21.64	16.50	1
inverno	1	1	9	46.62	-7.68	13.18	27.87	9.17	1
inverno	1	1	10	30.64	-7.72	5.84	10.96	14.30	1
inverno	1	2	1	37.63	-8.08	12.52	21.46	17.81	1
inverno	1	2	2	38.14	-9.69	16.66	25.39	8.92	1
inverno	1	2	3	35.26	-8.16	13.37	23.04	17.84	1
inverno	1	2	4	37.24	-8.72	13.32	22.09	21.54	1
inverno	1	2	5	38.26	-6.45	13.38	21.75	18.75	1
inverno	1	2	6	40.20	-7.81	13.03	23.26	13.24	1
inverno	1	2	7	38.93	-8.13	13.90	23.19	16.09	1
inverno	1	2	8	33.47	-5.61	8.27	15.07	8.95	1
inverno	1	2	9	39.47	-9.86	16.37	25.97	15.64	1
inverno	1	2	10	36.88	-7.23	12.65	20.75	20.37	1
inverno	1	3	1	36.91	-7.05	10.87	19.47	20.60	1
inverno	1	3	2	30.78	-5.99	8.24	13.96	8.92	1
inverno	1	3	3	37.81	-5.27	8.99	18.11	27.82	2
inverno	1	3	4	33.03	-5.45	7.44	14.20	21.92	1
inverno	1	3	5	37.53	-7.87	14.45	22.60	17.70	1
inverno	1	3	6	39.52	-11.59	24.62	33.00	13.66	1
inverno	1	3	7	43.67	-10.19	19.52	30.74	16.30	1
inverno	1	3	8	37.26	-11.27	19.89	28.14	17.17	1
inverno	1	3	9	38.26	-7.32	12.46	21.47	15.60	1
inverno	1	3	10	41.45	-8.51	16.80	26.86	20.37	1
inverno	1	4	1	43.62	-10.06	24.26	35.15	16.04	1
inverno	1	4	2	39.87	-8.70	15.00	24.74	14.89	1
inverno	1	4	3	39.34	-10.80	19.21	28.38	19.15	1
inverno	1	4	4	43.31	-8.88	21.70	31.63	16.66	1
inverno	1	4	5	39.33	-8.64	13.31	23.26	14.72	2
inverno	1	4	6	38.85	-8.09	14.92	23.93	8.07	1
inverno	1	4	7	34.89	-12.00	19.62	27.35	12.61	1
inverno	1	4	8	37.16	-9.32	15.74	24.06	15.69	1
inverno	1	4	9	33.47	-8.45	14.42	21.00	20.86	1
inverno	1	4	10	37.18	-9.57	16.39	24.66	13.14	1
inverno	1	5	1	37.26	-9.31	15.43	23.88	16.10	1
inverno	1	5	2	46.10	-11.72	24.50	36.31	10.00	1
inverno	1	5	3	43.38	-8.56	14.85	26.82	22.32	1
inverno	1	5	4	36.46	-8.25	14.46	22.28	19.39	1
inverno	1	5	5	41.32	-7.39	13.67	24.24	28.33	1
inverno	1	5	6	39.47	-6.64	10.18	20.53	20.14	1
inverno	1	5	7	33.92	-9.83	15.55	22.72	16.59	1
inverno	1	5	8	44.11	-9.50	18.31	29.92	12.04	1
inverno	1	5	9	37.04	-5.22	8.20	17.08	20.37	1
inverno	1	5	10	38.29	-8.39	13.40	22.58	19.13	1
inverno	3	1	1	42.39	-10.78	18.72	29.67	14.88	1
inverno	3	1	2	39.71	-7.35	11.12	21.55	12.85	1
inverno	3	1	3	40.92	-10.33	15.84	26.64	10.76	1
inverno	3	1	4	36.75	-7.81	11.73	20.30	14.13	1
inverno	3	1	5	37.24	-7.67	12.10	20.76	17.30	1
inverno	3	1	6	39.66	-9.35	15.28	25.09	17.69	1
inverno	3	1	7	33.97	-6.62	9.96	17.00	19.11	1
inverno	3	1	8	36.44	-6.79	10.19	18.62	16.43	1
