## Dados de experimento feito por Alexandre Martins Abdão dos Passos
## (http://lattes.cnpq.br/3663394160618071).
##
## O experimento combinou fonte de fertilizante orgânico (fonte, CF=cama
## de framgo, EC=esterco de curral e PC=pó de carvão) nas doses 0, 3, 6,
## e 9 ton/ha e tendo ainda o complemento de 0, 100, 200, 300 e 400
## kg/ha de dose de fertilizante químico (NPK). O delineamento foi de
## blocos casualizados com arranjo de tratamentos em parcela
## subsubdividida. Na parcela a fonte, na subparcela a dose e
## subsubparcela o npk. As respostas avaliadas foram tanto de solo
## quanto de planta, conforme legenda:
##
## AF: área foliar;
## N: nitrogênio;
## P: fósforo;
## K: potássio;
## Ca: cálcio;
## Mg: magnésio;
## S: enxofre;
## B: boro;
## Cu: cobre;
## Mn: manganês;
## Zn: zinco;
## Fe: ferro;
## ACA: nota visual para acamamento, ordinal em escala de 5 níveis (nenhum=1,2,3,4,5=muito);
## prod: produtividade;
## Apta: altura de plantas (cm);
## Ains: altura de inserção do primeiro legume (cm);
## Nleg: número médio de legumes por planta;
## Ngrao: número médio de grãos por legume;
## PCS: peso de 100 sementes;
## 
fonte	dorg	dnpk	bloco	AF	N	P	K	Ca	Mg	S	B	Cu	Mn	ZN	Fe	ACA	prod	Apta	Ains	Nleg	Ngrao	PCS
EC	3	400	2	44.1929	4.33	0.19	1.28	1.08	0.33	0.23	40.90	7.10	41.40	19.50	89.00	1	2851.55	78.8	28.0	26.10	2.02	14.54
EC	6	0	1	43.3587	4.76	0.20	1.23	1.26	0.34	0.28	54.00	8.40	39.00	29.50	95.90	1	2119.40	64.6	23.0	23.50	2.12	13.32
EC	6	0	2	90.3804	4.64	0.21	1.47	1.17	0.34	0.25	45.60	9.10	37.90	23.10	153.10	1	1961.15	73.8	31.4	25.50	2.02	14.28
EC	6	0	3	79.9027	4.70	0.21	1.47	1.29	0.34	0.27	47.33	9.12	51.93	25.81	107.56	1	2845.06	75.4	21.8	38.40	2.24	15.37
EC	6	100	1	19.8349	4.10	0.20	1.16	1.32	0.38	0.25	39.60	8.30	37.30	25.70	89.10	1	2403.23	72.0	27.6	22.40	2.08	13.87
EC	6	100	2	49.5339	4.67	0.20	1.39	1.18	0.35	0.25	50.30	7.80	38.60	21.20	104.00	1	3006.24	73.8	26.2	42.10	2.09	15.29
EC	6	100	3	69.1555	4.39	0.21	1.56	1.14	0.34	0.25	39.91	8.13	51.06	23.13	96.77	1	4065.42	78.0	24.8	28.90	2.73	16.04
EC	6	200	1	38.6776	3.63	0.20	1.12	1.47	0.37	0.28	43.00	8.60	49.80	24.50	95.90	1	2720.65	71.6	29.8	28.50	2.06	14.47
EC	6	200	2	67.5185	4.83	0.21	1.38	1.28	0.37	0.25	43.00	7.90	40.60	20.30	99.30	1	3286.35	77.4	28.0	31.20	2.09	15.51
EC	6	200	3	97.1833	4.23	0.22	1.57	1.27	0.36	0.27	45.63	7.86	44.56	22.36	98.27	2	4649.83	75.0	22.8	66.20	2.19	17.16
EC	6	300	3	78.9017	4.78	0.22	1.46	1.37	0.36	0.26	41.26	8.46	41.30	24.03	96.10	1	3954.53	77.8	24.4	25.30	1.79	17.03
EC	6	300	2	87.5158	4.83	0.22	1.39	1.50	0.40	0.25	51.10	8.10	47.10	22.60	105.70	2	3114.31	76.6	33.2	32.50	2.09	15.12
EC	6	300	1	110.3900	4.73	0.20	1.18	1.27	0.36	0.27	48.80	8.00	44.20	47.00	98.50	1	3715.86	65.8	24.2	29.60	1.98	14.08
EC	6	400	2	91.9940	4.92	0.22	1.29	1.34	0.36	0.25	44.50	7.80	40.40	20.70	101.50	2	3172.67	81.6	30.0	38.70	2.14	14.54
EC	6	400	3	154.3478	4.80	0.26	1.52	1.35	0.36	0.27	43.74	8.37	57.41	29.19	101.98	1	5567.31	73.8	21.6	103.50	2.31	16.48
EC	6	400	1	63.2416	4.67	0.23	1.12	1.63	0.40	0.28	45.70	8.10	47.30	27.30	91.20	1	3127.13	83.4	30.0	44.20	2.14	14.21
EC	9	0	1	51.1550	4.50	0.20	1.33	1.43	0.35	0.27	41.70	8.80	33.90	27.80	86.50	1	2951.55	71.2	23.0	39.50	1.99	15.55
EC	9	0	3	121.4242	4.57	0.21	1.56	1.14	0.34	0.25	39.89	8.13	51.02	23.13	96.81	2	3615.73	73.4	20.4	40.20	2.18	16.46
EC	9	0	2	74.0063	4.63	0.20	1.36	1.11	0.35	0.22	40.20	8.00	38.20	23.30	88.30	1	2718.53	69.0	27.2	24.60	2.14	13.49
EC	9	100	2	44.6261	4.46	0.21	1.28	1.27	0.37	0.23	46.30	8.60	41.40	29.20	100.10	1	2845.17	70.2	28.8	37.70	2.23	14.95
EC	9	100	3	75.0985	4.58	0.22	1.46	1.37	0.36	0.22	41.27	8.47	41.25	24.04	96.15	1	5354.26	75.4	23.2	44.50	2.26	16.53
EC	9	100	1	47.2349	4.70	0.20	1.20	1.50	0.40	0.20	52.60	7.40	40.10	27.70	74.90	1	4089.22	74.0	25.2	43.10	2.25	15.83
EC	9	200	1	75.0944	4.59	0.20	1.30	1.40	0.40	0.20	49.50	6.00	41.50	25.70	93.20	1	4691.03	76.2	26.4	35.30	2.61	15.10
