id;tam;quar;banh;valor
aviso-2927299304;67;1;1;425000
aviso-2927299439;71;3;2;3e+05
aviso-2927303500;61;2;1;285000
aviso-2927303533;143;4;4;8e+05
aviso-2927252602;77;3;3;330000
aviso-2927254497;66;2;2;407000
aviso-2927254575;66;2;2;480000
aviso-2927254598;66;2;2;480000
aviso-2927256377;77;3;2;450000
aviso-2927257923;143;4;4;788400
aviso-2927257927;113;3;3;632700
aviso-2927257931;182;4;5;990000
aviso-2927276388;32;1;1;260000
aviso-2927276400;32;1;1;196000
aviso-2927276401;41;1;1;270000
aviso-2927276402;66;2;1;440000
aviso-2927276464;73;2;2;330000
aviso-2927276494;32;1;1;178000
aviso-2927276704;108;3;3;6e+05
aviso-2927276754;124;3;4;994900
aviso-2927248990;76;3;2;340000
aviso-2927270622;72;3;1;375000
aviso-2927297517;129;2;3;590000
aviso-2927056858;182;4;5;990000
aviso-2927059582;61;2;1;270000
aviso-2927435530;113;3;4;650000
aviso-2927422027;125;2;3;435000
aviso-2927397560;66;2;1;407000
aviso-2927397871;66;2;1;407000
aviso-2927413052;0;1;1;169000
aviso-2927418381;113;3;4;650000
aviso-2927412113;73;3;2;359000
aviso-2927412135;74;3;2;330000
aviso-2927412142;77;3;2;389000
aviso-2927412143;32;1;1;189000
aviso-2927412144;67;3;1;330000
aviso-2927412145;67;3;1;3e+05
aviso-2927404589;50;2;1;230000
aviso-2927405155;182;3;1;1269000
aviso-2927389964;63;3;2;328000
aviso-2925994483;182;4;5;1100000
aviso-2925994737;148;3;3;860000
aviso-2926034337;108;3;3;763000
aviso-2926035474;64;2;1;340000
aviso-2926038579;67;3;1;229000
aviso-2926083341;63;2;1;320000
aviso-2926022200;168;3;2;660000
aviso-2926023531;69;2;2;390000
aviso-2926024569;78;3;3;330000
aviso-2926005976;61;2;2;280000
aviso-2925966591;53;2;2;280000
aviso-2927523720;182;4;4;1137000
aviso-2927525817;64;2;2;363000
aviso-2927454647;88;3;3;320000
aviso-2927455844;77;3;2;515000
aviso-2927442920;180;3;4;1061000
aviso-2927448351;182;3;4;1100000
aviso-2927448352;143;3;4;876000
aviso-2927460107;70;3;1;222000
aviso-2927460142;143;3;5;799200
aviso-2927479199;31;1;1;180000
aviso-2927479561;44;1;1;160000
aviso-2927569684;21;1;1;160000
aviso-2927891001;113;2;3;830000
aviso-2927891362;181;3;4;1077000
aviso-2927892024;170;3;3;1080000
aviso-2927892294;354;4;2;1200000
aviso-2927892376;170;3;3;995000
aviso-2927877866;123;3;3;840000
aviso-2927868035;32;1;1;215000
aviso-2927894651;170;3;3;995000
aviso-2927894873;364;4;2;1200000
aviso-2927897680;76;3;2;343200
aviso-2927872300;69;2;2;387000
aviso-2927872306;92;3;2;425000
aviso-2927873462;113;3;1;450000
aviso-2927874205;68;2;1;295000
aviso-2927875120;123;3;3;840000
aviso-2927882448;130;2;2;450000
aviso-2927922382;94;3;2;476000
aviso-2927689968;86;3;2;580000
aviso-2927690087;64;2;2;363000
aviso-2927692521;182;4;5;1012000
aviso-2927751807;32;1;1;208492
aviso-2927751808;60;2;1;449218
aviso-2927739485;64;2;2;363000
aviso-2927739486;64;2;2;363000
aviso-2927739512;71;2;2;470000
aviso-2927745921;33;1;1;195000
aviso-2927745940;33;1;1;195000
aviso-2927745962;33;1;1;195000
aviso-2927745980;33;1;1;195000
aviso-2927746068;33;1;1;195000
aviso-2927720620;182;4;5;990000
aviso-2927720634;182;4;5;990000
aviso-2927722550;64;2;2;363000
aviso-2927722552;64;2;2;363000
aviso-2927722761;66;2;2;260000
aviso-2927695606;131;2;3;640000
aviso-2927697760;84;3;2;574800
aviso-2927697761;84;3;2;574800
aviso-2927698787;65;3;1;280000
aviso-2927698869;66;2;1;280000
aviso-2927698979;59;3;1;330000
aviso-2927699047;98;3;1;470000
